Date|symbol|operation|quantity|price|balance
2024-01-02|EMN|BUY|22|89.38|8033.64
2024-01-02|DVA|BUY|18|106.89|6109.62
2024-01-02|STT|BUY|25|77.75|4165.87
2024-01-02|DD|BUY|1|32.43|4133.44
2024-01-02|SYK|BUY|6|296.23|2356.06
2024-01-02|ROL|BUY|46|43.27|365.64
2024-01-02|GILD|BUY|4|83.24|32.68
2024-01-02|WBD|BUY|2|11.66|9.36
2024-01-09|WBD|SELL|2|11.03|31.42
2024-01-09|NCLH|BUY|1|17.38|14.04
2024-01-09|WBD|BUY|1|11.03|3.01
2024-01-16|WBD|SELL|1|10.35|13.36
2024-01-16|WBD|BUY|1|10.35|3.01
2024-01-17|DD|SELL|1|30.58|33.59
2024-01-17|IVZ|BUY|2|16.65|0.29
2024-01-22|GILD|SELL|4|78.43|314.01
2024-01-22|CMI|BUY|1|233.88|80.13
2024-01-22|XEL|BUY|1|58.93|21.2
2024-01-22|WBD|BUY|2|10.47|0.26
2024-01-24|EMN|SELL|22|83.8|1843.86
2024-01-24|STT|SELL|25|73.84|3689.86
2024-01-24|KEYS|BUY|12|155.22|1827.22
2024-01-24|DTE|BUY|17|102.36|87.1
2024-01-24|XEL|BUY|1|58.22|28.88
2024-01-24|WBD|BUY|2|10.41|8.06
2024-02-02|SYK|SELL|6|342.05|2060.36
2024-02-02|TSCO|BUY|43|46.59|56.99
2024-02-02|WY|BUY|1|32.9|24.09
2024-02-02|WBD|BUY|2|10.25|3.59
2024-02-05|IVZ|SELL|2|15.68|34.95
2024-02-05|WY|BUY|1|32.37|2.58
2024-02-07|WBD|SELL|1|9.75|12.33
2024-02-07|WBD|SELL|2|9.75|31.83
2024-02-07|WBD|SELL|2|9.75|51.33
2024-02-07|WY|BUY|1|32.86|18.47
2024-02-07|WBD|BUY|1|9.75|8.72
2024-02-09|NCLH|SELL|1|16.42|25.14
2024-02-09|WBD|SELL|2|9.64|44.42
2024-02-09|WY|BUY|1|33.28|11.14
2024-02-09|WBD|BUY|1|9.64|1.5
2024-02-14|DVA|SELL|18|123.41|2222.88
2024-02-14|ZTS|BUY|11|184.08|198.0
2024-02-14|ZBH|BUY|1|121.84|76.16
2024-02-14|XEL|BUY|1|58.68|17.48
2024-02-14|WBD|BUY|1|9.73|7.75
2024-02-16|ROL|SELL|46|41.05|1896.05
2024-02-16|PG|BUY|12|157.51|5.93
2024-02-21|KEYS|SELL|12|144.04|1734.41
2024-02-21|YUM|BUY|12|135.23|111.65
2024-02-21|XOM|BUY|1|104.85|6.8
2024-02-23|WBD|SELL|1|8.61|15.41
2024-02-23|WBD|SELL|1|8.61|24.02
2024-02-23|WBD|SELL|1|8.61|32.63
2024-02-23|WBD|BUY|3|8.61|6.8
2024-02-28|CMI|SELL|1|270.36|277.16
2024-02-28|KR|BUY|5|48.53|34.51
2024-02-28|WY|BUY|1|34.23|0.28
2024-02-29|XEL|SELL|1|52.69|52.97
2024-02-29|XEL|SELL|1|52.69|105.66
2024-02-29|XEL|SELL|1|52.69|158.35
2024-02-29|WYNN|BUY|1|105.2|53.15
2024-02-29|XEL|BUY|1|52.69|0.46
2024-03-01|XEL|SELL|1|49.57|50.03
2024-03-01|XEL|BUY|1|49.57|0.46
2024-03-04|WBD|SELL|3|8.11|24.79
2024-03-04|WYNN|SELL|1|99.73|124.52
2024-03-04|AEP|BUY|1|84.95|39.57
2024-03-04|WY|BUY|1|35.36|4.21
2024-03-08|KR|SELL|5|55.97|284.06
2024-03-08|ZBRA|BUY|1|282.59|1.47
2024-03-14|ZTS|SELL|11|173.88|1914.15
2024-03-14|ZTS|BUY|11|173.88|1.47
2024-04-02|ZTS|SELL|11|165.01|1816.58
2024-04-02|PEG|BUY|27|66.42|23.24
2024-04-02|WBD|BUY|2|8.48|6.28
2024-04-05|XOM|SELL|1|121.37|127.65
2024-04-05|ZBH|BUY|1|127.33|0.32
2024-04-12|WY|SELL|1|33.24|33.56
2024-04-12|HPE|BUY|1|17.42|16.14
2024-04-12|WBD|BUY|1|8.34|7.8
2024-04-16|WY|SELL|1|31.97|39.77
2024-04-16|AEP|SELL|1|79.51|119.28
2024-04-16|MMM|BUY|1|91.05|28.23
2024-04-16|WBD|BUY|3|8.14|3.81
2024-04-17|WY|SELL|1|31.52|35.33
2024-04-17|WY|BUY|1|31.52|3.81
2024-04-18|ZBH|SELL|1|119.33|123.14
2024-04-18|ZBH|BUY|1|119.33|3.81
2024-04-19|ZBRA|SELL|1|268.07|271.88
2024-04-19|UAL|BUY|5|51.38|14.98
2024-04-19|WBD|BUY|1|8.4|6.58
2024-04-26|TSCO|SELL|43|54.78|2362.12
2024-04-26|WY|SELL|1|31.05|2393.17
2024-04-26|WY|SELL|1|31.05|2424.22
2024-04-26|CAG|BUY|65|31.08|404.02
2024-04-26|DD|BUY|13|30.84|3.1
2024-04-30|WY|SELL|1|30.17|33.27
2024-04-30|WBD|SELL|2|7.36|47.99
2024-04-30|WBD|SELL|1|7.36|55.35
2024-04-30|WBD|SELL|3|7.36|77.43
2024-04-30|WBD|SELL|1|7.36|84.79
2024-04-30|CCL|BUY|5|14.82|10.69
2024-04-30|WBD|BUY|1|7.36|3.33
2024-05-01|HPE|SELL|1|16.44|19.77
2024-05-01|WBD|BUY|2|7.62|4.53
2024-05-14|WBD|SELL|1|8.56|13.09
2024-05-14|WBD|BUY|1|8.56|4.53
2024-05-16|MMM|SELL|1|104.86|109.39
2024-05-16|SRE|BUY|1|77.67|31.72
2024-05-16|WY|BUY|1|31.11|0.61
2024-05-17|WBD|SELL|1|8.05|8.66
2024-05-17|WBD|BUY|1|8.05|0.61
2024-05-28|WY|SELL|1|29.76|30.37
2024-05-28|WY|BUY|1|29.76|0.61
2024-05-29|ZBH|SELL|1|115.14|115.75
2024-05-29|CAG|SELL|65|29.22|2015.05
2024-05-29|WY|SELL|1|29.36|2044.41
2024-05-29|ENPH|BUY|16|125.69|33.37
2024-05-29|WY|BUY|1|29.36|4.01
2024-06-03|ZBH|SELL|1|113.12|117.13
2024-06-03|ZBH|BUY|1|113.12|4.01
2024-06-12|ZBH|SELL|1|107.45|111.46
2024-06-12|ZBH|BUY|1|107.45|4.01
2024-06-13|WBD|SELL|1|7.29|11.3
2024-06-13|WBD|BUY|1|7.29|4.01
2024-06-17|WBD|SELL|2|7.16|18.33
2024-06-17|WBD|BUY|2|7.16|4.01
2024-06-18|ENPH|SELL|16|119.01|1908.17
2024-06-18|ZTS|BUY|11|169.66|41.91
2024-06-18|WY|BUY|1|28.87|13.04
2024-06-18|WBD|BUY|1|6.99|6.05
2024-06-21|UAL|SELL|5|48.18|246.95
2024-06-21|ZBH|BUY|2|107.86|31.23
2024-06-21|WY|BUY|1|29.02|2.21
2024-06-25|CCL|SELL|5|17.82|91.31
2024-06-25|FMC|BUY|1|56.52|34.79
2024-06-25|CCL|BUY|1|17.82|16.97
2024-06-25|WBD|BUY|2|7.24|2.49
2024-06-26|WY|SELL|1|27.96|30.45
2024-06-26|WY|BUY|1|27.96|2.49
2024-07-01|WY|SELL|1|27.56|30.05
2024-07-01|WY|SELL|1|27.56|57.61
2024-07-01|BWA|BUY|1|31.49|26.12
2024-07-01|WBD|BUY|3|7.1|4.82
2024-07-03|WY|SELL|1|27.05|31.87
2024-07-03|WY|BUY|1|27.05|4.82
2024-07-08|YUM|SELL|12|127.94|1540.1
2024-07-08|BKR|BUY|45|34.17|2.45
2024-07-11|PEG|SELL|27|76.53|2068.76
2024-07-11|AMT|BUY|9|207.2|203.96
2024-07-11|ZBH|BUY|1|108.19|95.77
2024-07-11|XEL|BUY|1|54.08|41.69
2024-07-11|WY|BUY|1|28.96|12.73
2024-07-11|WBD|BUY|1|7.38|5.35
2024-07-17|WBD|SELL|2|8.32|21.99
2024-07-17|WBD|SELL|1|8.32|30.31
2024-07-17|WBD|SELL|3|8.32|55.27
2024-07-17|NCLH|BUY|2|19.86|15.55
2024-07-17|WBD|BUY|1|8.32|7.23
2024-07-18|WBD|SELL|1|8.52|15.75
2024-07-18|WBD|SELL|2|8.52|32.79
2024-07-18|WBD|SELL|1|8.52|41.31
2024-07-18|KIM|BUY|1|21.29|20.02
2024-07-18|WBD|BUY|2|8.52|2.98
2024-07-24|DTE|SELL|17|117.91|2007.45
2024-07-24|ZTS|BUY|1|179.66|1827.79
2024-07-24|ZBRA|BUY|5|322.09|217.34
2024-07-24|ZBH|BUY|1|110.55|106.79
2024-07-24|XEL|BUY|1|56.36|50.43
2024-07-24|WY|BUY|1|29.87|20.56
2024-07-24|WBD|BUY|2|8.47|3.62
2024-07-25|NCLH|SELL|2|18.36|40.34
2024-07-25|WBD|SELL|2|7.99|56.32
2024-07-25|WBD|SELL|2|7.99|72.3
2024-07-25|XEL|BUY|1|56.87|15.43
2024-07-25|WBD|BUY|1|7.99|7.44
2024-07-26|XEL|SELL|1|57.36|64.8
2024-07-26|WY|SELL|1|31.6|96.4
2024-07-26|XEL|BUY|1|57.36|39.04
2024-07-26|WY|BUY|1|31.6|7.44
2024-07-31|CCL|SELL|1|16.66|24.1
2024-07-31|WBD|BUY|2|8.65|6.8
2024-08-05|WBD|SELL|1|7.88|14.68
2024-08-05|WBD|SELL|2|7.88|30.44
