Date|symbol|sector|quantity|buy_price|price
2024-01-02|EMN|Specialty Chemicals - Materials|22|89.38|89.38
2024-01-02|DVA|Health Care Services - Health Care|18|106.89|106.89
2024-01-02|STT|Asset Management & Custody Banks - Financials|25|77.75|77.75
2024-01-02|DD|Specialty Chemicals - Materials|1|32.43|32.43
2024-01-02|SYK|Health Care Equipment - Health Care|6|296.23|296.23
2024-01-02|ROL|Environmental & Facilities Services - Industrials|46|43.27|43.27
2024-01-02|GILD|Biotechnology - Health Care|4|83.24|83.24
2024-01-02|WBD|Broadcasting - Communication Services|2|11.66|11.66
2024-01-09|EMN|Specialty Chemicals - Materials|22|89.38|87.8
2024-01-09|DVA|Health Care Services - Health Care|18|106.89|108.45
2024-01-09|STT|Asset Management & Custody Banks - Financials|25|77.75|77.32
2024-01-09|DD|Specialty Chemicals - Materials|1|32.43|31.93
2024-01-09|SYK|Health Care Equipment - Health Care|6|296.23|303.25
2024-01-09|ROL|Environmental & Facilities Services - Industrials|46|43.27|43.06
2024-01-09|GILD|Biotechnology - Health Care|4|83.24|86.06
2024-01-09|NCLH|Hotels, Resorts & Cruise Lines - Consumer Discretionary|1|17.38|17.38
2024-01-09|WBD|Broadcasting - Communication Services|1|11.03|11.03
2024-01-16|EMN|Specialty Chemicals - Materials|22|89.38|86.29
2024-01-16|DVA|Health Care Services - Health Care|18|106.89|104.82
2024-01-16|STT|Asset Management & Custody Banks - Financials|25|77.75|75.87
2024-01-16|DD|Specialty Chemicals - Materials|1|32.43|30.85
2024-01-16|SYK|Health Care Equipment - Health Care|6|296.23|314.29
2024-01-16|ROL|Environmental & Facilities Services - Industrials|46|43.27|43.68
2024-01-16|GILD|Biotechnology - Health Care|4|83.24|85.99
2024-01-16|NCLH|Hotels, Resorts & Cruise Lines - Consumer Discretionary|1|17.38|17.25
2024-01-16|WBD|Broadcasting - Communication Services|1|10.35|10.35
2024-01-17|EMN|Specialty Chemicals - Materials|22|89.38|85.71
2024-01-17|DVA|Health Care Services - Health Care|18|106.89|104.65
2024-01-17|STT|Asset Management & Custody Banks - Financials|25|77.75|74.69
2024-01-17|SYK|Health Care Equipment - Health Care|6|296.23|313.68
2024-01-17|ROL|Environmental & Facilities Services - Industrials|46|43.27|43.37
2024-01-17|GILD|Biotechnology - Health Care|4|83.24|86.48
2024-01-17|NCLH|Hotels, Resorts & Cruise Lines - Consumer Discretionary|1|17.38|17.08
2024-01-17|WBD|Broadcasting - Communication Services|1|10.35|10.16
2024-01-17|IVZ|Asset Management & Custody Banks - Financials|2|16.65|16.65
2024-01-22|EMN|Specialty Chemicals - Materials|22|89.38|87.39
2024-01-22|DVA|Health Care Services - Health Care|18|106.89|104.63
2024-01-22|STT|Asset Management & Custody Banks - Financials|25|77.75|74.31
2024-01-22|SYK|Health Care Equipment - Health Care|6|296.23|313.27
2024-01-22|ROL|Environmental & Facilities Services - Industrials|46|43.27|44.08
2024-01-22|NCLH|Hotels, Resorts & Cruise Lines - Consumer Discretionary|1|17.38|17.48
2024-01-22|WBD|Broadcasting - Communication Services|1|10.35|10.47
2024-01-22|IVZ|Asset Management & Custody Banks - Financials|2|16.65|17.39
2024-01-22|CMI|Construction Machinery & Heavy Transportation Equipment - Industrials|1|233.88|233.88
2024-01-22|XEL|Multi-Utilities - Utilities|1|58.93|58.93
2024-01-22|WBD|Broadcasting - Communication Services|2|10.47|10.47
2024-01-24|DVA|Health Care Services - Health Care|18|106.89|104.46
2024-01-24|SYK|Health Care Equipment - Health Care|6|296.23|307.75
2024-01-24|ROL|Environmental & Facilities Services - Industrials|46|43.27|43.29
2024-01-24|NCLH|Hotels, Resorts & Cruise Lines - Consumer Discretionary|1|17.38|17.51
2024-01-24|WBD|Broadcasting - Communication Services|1|10.35|10.41
2024-01-24|IVZ|Asset Management & Custody Banks - Financials|2|16.65|15.82
2024-01-24|CMI|Construction Machinery & Heavy Transportation Equipment - Industrials|1|233.88|235.8
2024-01-24|XEL|Multi-Utilities - Utilities|1|58.93|58.22
2024-01-24|WBD|Broadcasting - Communication Services|2|10.47|10.41
2024-01-24|KEYS|Electronic Equipment & Instruments - Information Technology|12|155.22|155.22
