Date|symbol|sector|quantity|buy_price|price
2024-01-02|CVX|Integrated Oil & Gas - Energy|6|149.48|149.48
2024-01-02|WYNN|Casinos & Gaming - Consumer Discretionary|10|94.6|94.6
2024-01-02|ZTS|Pharmaceuticals - Health Care|5|196.57|196.57
2024-01-02|ZBRA|Electronic Equipment & Instruments - Information Technology|3|267.98|267.98
2024-01-02|ZBH|Health Care Equipment - Health Care|8|121.39|121.39
2024-01-02|YUM|Restaurants - Consumer Discretionary|7|129.03|129.03
2024-01-02|XYL|Industrial Machinery & Supplies & Components - Industrials|8|113.67|113.67
2024-01-02|XOM|Integrated Oil & Gas - Energy|1|102.36|102.36
2024-01-02|XEL|Multi-Utilities - Utilities|15|63.47|63.47
2024-01-02|WY|Timber REITs - Real Estate|28|34.79|34.79
2024-01-02|WTW|Insurance Brokers - Financials|4|239.95|239.95
2024-01-02|WST|Health Care Supplies - Health Care|1|348.69|348.69
2024-01-02|WRB|Property & Casualty Insurance - Financials|5|48.1|48.1
2024-01-03|CVX|Integrated Oil & Gas - Energy|6|149.48|152.33
2024-01-03|WYNN|Casinos & Gaming - Consumer Discretionary|10|94.6|94.03
2024-01-03|ZTS|Pharmaceuticals - Health Care|5|196.57|192.93
2024-01-03|ZBH|Health Care Equipment - Health Care|8|121.39|120.47
2024-01-03|YUM|Restaurants - Consumer Discretionary|7|129.03|129.1
2024-01-03|XYL|Industrial Machinery & Supplies & Components - Industrials|8|113.67|111.56
2024-01-03|XOM|Integrated Oil & Gas - Energy|1|102.36|103.22
2024-01-03|XEL|Multi-Utilities - Utilities|15|63.47|63.58
2024-01-03|WY|Timber REITs - Real Estate|28|34.79|34.06
2024-01-03|WTW|Insurance Brokers - Financials|4|239.95|240.63
2024-01-03|WST|Health Care Supplies - Health Care|1|348.69|338.27
2024-01-03|WRB|Property & Casualty Insurance - Financials|5|48.1|48.37
2024-01-03|MPC|Oil & Gas Refining & Marketing - Energy|4|157.89|157.89
2024-01-03|BWA|Automotive Parts & Equipment - Consumer Discretionary|3|34.03|34.03
