date|symbol|operation|quantity|price|balance
2024-06-05|TPR|BUY|4|43.5|7.52
2024-06-06|ZTS|SELL|5|176.78|891.42
2024-06-06|LW|BUY|10|86.05|30.92
2024-06-06|WY|BUY|1|29.76|1.16
2024-06-11|XOM|SELL|1|112.17|113.33
2024-06-11|ZBH|BUY|1|109.23|4.1
2024-06-12|XOM|SELL|1|110.93|115.03
2024-06-12|WBD|SELL|1|7.81|122.84
2024-06-12|EW|BUY|1|87.77|35.07
2024-06-12|WY|BUY|1|29.21|5.86
2024-06-13|WBD|SELL|1|7.29|13.15
2024-06-13|WBD|BUY|1|7.29|5.86
2024-06-14|WYNN|SELL|10|88.8|893.86
2024-06-14|EG|SELL|1|367.56|1261.42
2024-06-14|CCL|SELL|6|15.34|1353.46
2024-06-14|HLT|BUY|4|210.32|512.18
2024-06-14|ZTS|BUY|3|170.55|0.53
2024-06-18|ZBRA|SELL|1|295.25|295.78
2024-06-18|TPR|SELL|4|41.01|459.82
2024-06-18|BG|BUY|4|102.44|50.06
2024-06-18|WY|BUY|1|28.87|21.19
2024-06-18|WBD|BUY|3|6.99|0.22
2024-06-20|WY|SELL|2|28.64|57.5
2024-06-20|WY|BUY|2|28.64|0.22
2024-06-25|WY|SELL|3|28.28|85.06
2024-06-25|UBER|BUY|1|71.38|13.68
2024-06-25|WBD|BUY|1|7.24|6.44
2024-06-26|WY|SELL|1|27.96|34.4
2024-06-26|WY|BUY|1|27.96|6.44
