Date|symbol|operation|quantity|price|balance
2024-01-02|EMN|BUY|22|89.38|8033.64
2024-01-02|DVA|BUY|18|106.89|6109.62
2024-01-02|STT|BUY|25|77.75|4165.87
2024-01-02|DD|BUY|1|32.43|4133.44
2024-01-02|SYK|BUY|6|296.23|2356.06
2024-01-02|ROL|BUY|46|43.27|365.64
2024-01-02|GILD|BUY|4|83.24|32.68
2024-01-02|WBD|BUY|2|11.66|9.36
2024-01-09|WBD|SELL|2|11.03|31.42
2024-01-09|NCLH|BUY|1|17.38|14.04
2024-01-09|WBD|BUY|1|11.03|3.01
2024-01-16|WBD|SELL|1|10.35|13.36
2024-01-16|WBD|BUY|1|10.35|3.01
2024-01-17|DD|SELL|1|30.58|33.59
2024-01-17|IVZ|BUY|2|16.65|0.29
2024-01-22|GILD|SELL|4|78.43|314.01
2024-01-22|CMI|BUY|1|233.88|80.13
2024-01-22|XEL|BUY|1|58.93|21.2
2024-01-22|WBD|BUY|2|10.47|0.26
2024-01-24|EMN|SELL|22|83.8|1843.86
2024-01-24|STT|SELL|25|73.84|3689.86
2024-01-24|KEYS|BUY|12|155.22|1827.22
2024-01-24|DTE|BUY|17|102.36|87.1
2024-01-24|XEL|BUY|1|58.22|28.88
2024-01-24|WBD|BUY|2|10.41|8.06
2024-01-31|SYK|SELL|6|335.48|2020.94
2024-01-31|TSN|BUY|36|54.76|49.58
2024-01-31|WY|BUY|1|32.77|16.81
2024-01-31|WBD|BUY|1|10.02|6.79
2024-02-05|IVZ|SELL|2|15.68|38.15
2024-02-05|WY|BUY|1|32.37|5.78
2024-02-07|WBD|SELL|1|9.75|15.53
2024-02-07|WBD|SELL|2|9.75|35.03
2024-02-07|WBD|SELL|2|9.75|54.53
2024-02-07|WY|BUY|1|32.86|21.67
2024-02-07|WBD|BUY|2|9.75|2.17
2024-02-09|NCLH|SELL|1|16.42|18.59
2024-02-09|WBD|BUY|1|9.64|8.95
2024-02-13|TSN|SELL|36|51.61|1866.91
2024-02-13|ZTS|BUY|10|183.49|32.01
2024-02-13|WBD|BUY|3|9.54|3.39
2024-02-14|DVA|SELL|18|123.41|2224.77
2024-02-14|CMI|SELL|1|260.47|2485.24
2024-02-14|ZTS|BUY|1|184.08|2301.16
2024-02-14|ZBH|BUY|16|121.84|351.72
2024-02-14|YUM|BUY|2|134.01|83.7
2024-02-14|XEL|BUY|1|58.68|25.02
2024-02-14|WBD|BUY|2|9.73|5.56
2024-02-16|ROL|SELL|46|41.05|1893.86
2024-02-16|PG|BUY|12|157.51|3.74
2024-02-21|KEYS|SELL|12|144.04|1732.22
2024-02-21|YUM|BUY|12|135.23|109.46
2024-02-21|XOM|BUY|1|104.85|4.61
2024-02-23|WBD|SELL|1|8.61|13.22
2024-02-23|WBD|SELL|2|8.61|30.44
2024-02-23|WBD|SELL|1|8.61|39.05
2024-02-23|WBD|SELL|3|8.61|64.88
2024-02-23|WBD|SELL|2|8.61|82.1
2024-02-23|XEL|BUY|1|59.33|22.77
2024-02-23|WBD|BUY|2|8.61|5.55
2024-02-29|XEL|SELL|1|52.69|58.24
2024-02-29|XEL|SELL|1|52.69|110.93
2024-02-29|XEL|SELL|1|52.69|163.62
2024-02-29|XEL|SELL|1|52.69|216.31
2024-02-29|WYNN|BUY|2|105.2|5.91
2024-03-04|WBD|SELL|2|8.11|22.13
2024-03-04|WYNN|SELL|2|99.73|221.59
2024-03-04|AEP|BUY|2|84.95|51.69
2024-03-04|XEL|BUY|1|51.06|0.63
2024-03-06|XEL|SELL|1|48.44|49.07
2024-03-06|XEL|BUY|1|48.44|0.63
2024-03-07|DTE|SELL|17|112.66|1915.85
2024-03-07|ZBRA|BUY|6|288.59|184.31
2024-03-07|XYL|BUY|1|126.97|57.34
2024-03-07|XEL|BUY|1|50.04|7.3
2024-03-14|ZTS|SELL|10|173.88|1746.1
2024-03-14|ZTS|SELL|1|173.88|1919.98
2024-03-14|ZTS|BUY|11|173.88|7.3
2024-03-22|WY|SELL|1|35.61|42.91
2024-03-22|WY|BUY|1|35.61|7.3
2024-03-27|XEL|SELL|1|53.38|60.68
2024-03-27|XEL|BUY|1|53.38|7.3
2024-03-28|XOM|SELL|1|116.24|123.54
2024-03-28|PYPL|BUY|1|66.99|56.55
2024-03-28|XEL|BUY|1|53.75|2.8
2024-04-02|ZTS|SELL|11|165.01|1817.91
2024-04-02|PEG|BUY|27|66.42|24.57
2024-04-02|WBD|BUY|2|8.48|7.61
2024-04-10|WY|SELL|1|33.6|41.21
2024-04-10|WY|BUY|1|33.6|7.61
2024-04-15|PYPL|SELL|1|63.51|71.12
2024-04-15|XEL|BUY|1|53.17|17.95
2024-04-15|WBD|BUY|2|8.36|1.23
2024-04-16|AEP|SELL|2|79.51|160.25
2024-04-16|MMM|BUY|1|91.05|69.2
2024-04-16|XEL|BUY|1|52.53|16.67
2024-04-16|WBD|BUY|2|8.14|0.39
2024-04-17|WY|SELL|1|31.52|31.91
2024-04-17|WY|BUY|1|31.52|0.39
2024-04-18|ZBRA|SELL|6|273.03|1638.57
2024-04-18|ZTS|BUY|10|153.11|107.47
2024-04-18|XEL|BUY|1|53.76|53.71
2024-04-18|WY|BUY|1|31.35|22.36
2024-04-18|WBD|BUY|2|8.31|5.74
2024-04-23|XEL|SELL|1|55.27|61.01
2024-04-23|XEL|BUY|1|55.27|5.74
2024-04-26|WY|SELL|1|31.05|36.79
2024-04-26|WY|SELL|1|31.05|67.84
2024-04-26|CAG|BUY|2|31.08|5.68
2024-04-30|WBD|SELL|2|7.36|20.4
2024-04-30|WBD|SELL|2|7.36|35.12
2024-04-30|WBD|SELL|2|7.36|49.84
2024-04-30|WBD|SELL|2|7.36|64.56
2024-04-30|CCL|BUY|4|14.82|5.28
2024-05-07|XYL|SELL|1|140.03|145.31
2024-05-07|ZTS|SELL|10|168.45|1829.81
2024-05-07|HAS|BUY|29|61.16|56.17
2024-05-07|XEL|BUY|1|55.02|1.15
2024-05-09|PEG|SELL|27|73.6|1988.35
2024-05-09|DGX|BUY|14|138.16|54.11
2024-05-09|WY|BUY|1|31.13|22.98
2024-05-09|WBD|BUY|2|8.04|6.9
2024-05-15|MMM|SELL|1|101.24|108.14
2024-05-15|PNW|BUY|1|77.54|30.6
2024-05-15|WBD|BUY|3|8.2|6.0
2024-05-23|WBD|SELL|3|7.7|29.1
2024-05-23|WBD|BUY|3|7.7|6.0
2024-05-28|WY|SELL|1|29.76|35.76
2024-05-28|WY|SELL|1|29.76|65.52
2024-05-28|XEL|BUY|1|53.74|11.78
2024-05-28|WBD|BUY|1|7.87|3.91
2024-05-29|ZBH|SELL|16|115.14|1846.15
2024-05-29|CAG|SELL|2|29.22|1904.59
2024-05-29|WY|SELL|1|29.36|1933.95
2024-05-29|ENPH|BUY|15|125.69|48.6
2024-05-29|WY|BUY|1|29.36|19.24
2024-05-29|WBD|BUY|2|7.66|3.92
2024-06-04|CCL|SELL|4|16.94|71.68
2024-06-04|HAS|SELL|29|57.49|1738.89
2024-06-04|ZTS|BUY|10|171.88|20.09
2024-06-04|WBD|BUY|2|8.24|3.61
2024-06-12|WBD|SELL|2|7.81|19.23
2024-06-12|WBD|BUY|2|7.81|3.61
2024-06-13|WBD|SELL|2|7.29|18.19
2024-06-13|WBD|SELL|3|7.29|40.06
2024-06-13|WBD|SELL|1|7.29|47.35
2024-06-13|WBD|SELL|2|7.29|61.93
2024-06-13|XEL|BUY|1|54.34|7.59
2024-06-13|WBD|BUY|1|7.29|0.3
2024-06-14|WBD|SELL|2|7.24|14.78
2024-06-14|WBD|BUY|2|7.24|0.3
2024-06-18|ENPH|SELL|15|119.01|1785.45
2024-06-18|ZTS|BUY|1|169.66|1615.79
2024-06-18|ZBRA|BUY|5|295.25|139.54
2024-06-18|ZBH|BUY|1|106.69|32.85
2024-06-18|WY|BUY|1|28.87|3.98
2024-07-01|XEL|SELL|1|52.43|56.41
2024-07-01|WY|SELL|1|27.56|83.97
2024-07-01|BWA|BUY|2|31.49|20.99
2024-07-01|WBD|BUY|2|7.1|6.79
2024-07-03|WY|SELL|1|27.05|33.84
2024-07-03|WY|BUY|1|27.05|6.79
2024-07-08|YUM|SELL|12|127.94|1542.07
2024-07-08|XEL|SELL|1|52.11|1594.18
2024-07-08|BKR|BUY|46|34.17|22.36
2024-07-08|WBD|BUY|3|7.11|1.03
2024-07-09|YUM|SELL|2|126.66|254.35
2024-07-09|INCY|BUY|4|60.7|11.55
2024-07-09|WBD|BUY|1|7.34|4.21
2024-07-11|ZBRA|SELL|5|328.32|1645.81
2024-07-11|AMT|BUY|7|207.2|195.41
2024-07-11|ZBH|BUY|1|108.19|87.22
2024-07-11|XEL|BUY|1|54.08|33.14
2024-07-11|WY|BUY|1|28.96|4.18
2024-07-16|WBD|SELL|2|7.98|20.14
2024-07-16|WBD|SELL|2|7.98|36.1
2024-07-16|WBD|SELL|3|7.98|60.04
2024-07-16|XEL|BUY|1|53.93|6.11
2024-07-17|WBD|SELL|1|8.32|14.43
2024-07-17|WY|SELL|1|30.49|44.92
2024-07-17|WBD|SELL|1|8.32|53.24
2024-07-17|NCLH|BUY|2|19.86|13.52
2024-07-17|WBD|BUY|1|8.32|5.2
2024-07-24|INCY|SELL|4|66.91|272.84
