symbol,name,industry,sector
CURY3,CURY3,Unknown,Unknown
CVCB3,CVCB3,Unknown,Unknown
CXSE3,CXSE3,Unknown,Unknown
CYRE3,CYRE3,Unknown,Unknown
DASA3,DASA3,Unknown,Unknown
DIRR3,DIRR3,Unknown,Unknown
DXCO3,DXCO3,Unknown,Unknown
ECOR3,ECOR3,Unknown,Unknown
EGIE3,EGIE3,Unknown,Unknown
ELET3,ELET3,Unknown,Unknown
ELET6,ELET6,Unknown,Unknown
EMBR3,EMBR3,Unknown,Unknown
ENEV3,ENEV3,Unknown,Unknown
ENGI11,ENGI11,Unknown,Unknown
EQTL3,EQTL3,Unknown,Unknown
EVEN3,EVEN3,Unknown,Unknown
EZTC3,EZTC3,Unknown,Unknown
FESA4,FESA4,Unknown,Unknown
FLRY3,FLRY3,Unknown,Unknown
FRAS3,FRAS3,Unknown,Unknown
GFSA3,GFSA3,Unknown,Unknown
GGBR4,GGBR4,Unknown,Unknown
GGPS3,GGPS3,Unknown,Unknown
GMAT3,GMAT3,Unknown,Unknown
GOAU4,GOAU4,Unknown,Unknown
GRND3,GRND3,Unknown,Unknown
GUAR3,GUAR3,Unknown,Unknown
HAPV3,HAPV3,Unknown,Unknown
HBSA3,HBSA3,Unknown,Unknown
HYPE3,HYPE3,Unknown,Unknown
IGTI11,IGTI11,Unknown,Unknown
INTB3,INTB3,Unknown,Unknown
IRBR3,IRBR3,Unknown,Unknown
ISAE4,ISAE4,Unknown,Unknown
ITSA4,ITSA4,Unknown,Unknown
ITUB3,ITUB3,Unknown,Unknown
ITUB4,ITUB4,Unknown,Unknown
JALL3,JALL3,Unknown,Unknown
JBSS3,JBSS3,Unknown,Unknown
JHSF3,JHSF3,Unknown,Unknown
JSLG3,JSLG3,Unknown,Unknown
KEPL3,KEPL3,Unknown,Unknown
KLBN11,KLBN11,Unknown,Unknown
LAVV3,LAVV3,Unknown,Unknown
LEVE3,LEVE3,Unknown,Unknown
LJQQ3,LJQQ3,Unknown,Unknown
LOGG3,LOGG3,Unknown,Unknown
LREN3,LREN3,Unknown,Unknown
LWSA3,LWSA3,Unknown,Unknown
MDIA3,MDIA3,Unknown,Unknown
MDNE3,MDNE3,Unknown,Unknown
MGLU3,MGLU3,Unknown,Unknown
MILS3,MILS3,Unknown,Unknown
MLAS3,MLAS3,Unknown,Unknown
MOVI3,MOVI3,Unknown,Unknown
MRFG3,MRFG3,Unknown,Unknown
MRVE3,MRVE3,Unknown,Unknown
MTRE3,MTRE3,Unknown,Unknown
MULT3,MULT3,Unknown,Unknown
MYPK3,MYPK3,Unknown,Unknown
NEOE3,NEOE3,Unknown,Unknown
NTCO3,NTCO3,Unknown,Unknown
ODPV3,ODPV3,Unknown,Unknown
ONCO3,ONCO3,Unknown,Unknown
OPCT3,OPCT3,Unknown,Unknown
ORVR3,ORVR3,Unknown,Unknown
PCAR3,PCAR3,Unknown,Unknown
PETR3,PETR3,Unknown,Unknown
PETR4,PETR4,Unknown,Unknown
PETZ3,PETZ3,Unknown,Unknown
PGMN3,PGMN3,Unknown,Unknown
PLPL3,PLPL3,Unknown,Unknown
PNVL3,PNVL3,Unknown,Unknown
POMO4,POMO4,Unknown,Unknown
PORT3,PORT3,Unknown,Unknown
POSI3,POSI3,Unknown,Unknown
PRIO3,PRIO3,Unknown,Unknown
PRNR3,PRNR3,Unknown,Unknown
PSSA3,PSSA3,Unknown,Unknown
QUAL3,QUAL3,Unknown,Unknown
RADL3,RADL3,Unknown,Unknown
RAIL3,RAIL3,Unknown,Unknown
RAIZ4,RAIZ4,Unknown,Unknown
RANI3,RANI3,Unknown,Unknown
RAPT4,RAPT4,Unknown,Unknown
RCSL3,RCSL3,Unknown,Unknown
RCSL4,RCSL4,Unknown,Unknown
RDOR3,RDOR3,Unknown,Unknown
RECV3,RECV3,Unknown,Unknown
RENT3,RENT3,Unknown,Unknown
SANB11,SANB11,Unknown,Unknown
SAPR11,SAPR11,Unknown,Unknown
SBFG3,SBFG3,Unknown,Unknown
SBSP3,SBSP3,Unknown,Unknown
SEER3,SEER3,Unknown,Unknown
SIMH3,SIMH3,Unknown,Unknown
SLCE3,SLCE3,Unknown,Unknown
SMFT3,SMFT3,Unknown,Unknown
SMTO3,SMTO3,Unknown,Unknown
SOJA3,SOJA3,Unknown,Unknown
SRNA3,SRNA3,Unknown,Unknown
STBP3,STBP3,Unknown,Unknown
SUZB3,SUZB3,Unknown,Unknown
SYNE3,SYNE3,Unknown,Unknown
TAEE11,TAEE11,Unknown,Unknown
TASA4,TASA4,Unknown,Unknown
TEND3,TEND3,Unknown,Unknown
TGMA3,TGMA3,Unknown,Unknown
TIMS3,TIMS3,Unknown,Unknown
TOTS3,TOTS3,Unknown,Unknown
TTEN3,TTEN3,Unknown,Unknown
TUPY3,TUPY3,Unknown,Unknown
UGPA3,UGPA3,Unknown,Unknown
UNIP6,UNIP6,Unknown,Unknown
USIM3,USIM3,Unknown,Unknown
USIM5,USIM5,Unknown,Unknown
VALE3,VALE3,Unknown,Unknown
VAMO3,VAMO3,Unknown,Unknown
VBBR3,VBBR3,Unknown,Unknown
VIVA3,VIVA3,Unknown,Unknown
VIVT3,VIVT3,Unknown,Unknown
VLID3,VLID3,Unknown,Unknown
VULC3,VULC3,Unknown,Unknown
VVEO3,VVEO3,Unknown,Unknown
WEGE3,WEGE3,Unknown,Unknown
YDUQ3,YDUQ3,Unknown,Unknown
ZAMP3,ZAMP3,Unknown,Unknown
