C�digo;A��o;Tipo;Qtde. Te�rica;Part. (%);;;;
SMTO3;SAO MARTINHO;ON      NM;128.130.966;0,146;;;;
SOJA3;BOA SAFRA;ON  EJ  NM;46.233.405;0,021;;;;
SRNA3;SERENA;ON      NM;417.646.827;0,106;;;;
STBP3;SANTOS BRP;ON  EJ  NM;855.712.622;0,53;;;;
SUZB3;SUZANO S.A.;ON      NM;630.821.784;1,856;;;;
SYNE3;SYN PROP TEC;ON      NM;59.381.237;0,015;;;;
TAEE11;TAESA;UNT     N2;218.568.234;0,331;;;;
TASA4;TAURUS ARMAS;PN      N2;67.442.691;0,026;;;;
TEND3;TENDA;ON      NM;123.094.246;0,072;;;;
TGMA3;TEGMA;ON      NM;32.001.379;0,042;;;;
TIMS3;TIM;ON  EJ  NM;807.495.418;0,547;;;;
TOTS3;TOTVS;ON      NM;540.206.440;0,663;;;;
TTEN3;3TENTOS;ON      NM;112.212.186;0,069;;;;
TUPY3;TUPY;ON  EJ  NM;143.716.238;0,144;;;;
UGPA3;ULTRAPAR;ON      NM;1.090.134.379;0,796;;;;
UNIP6;UNIPAR;PNB;50.800.579;0,107;;;;
USIM3;USIMINAS;ON      N1;161.021.803;0,038;;;;
USIM5;USIMINAS;PNA     N1;515.193.199;0,117;;;;
VALE3;VALE;ON      NM;4.270.903.023;10,676;;;;
VAMO3;VAMOS;ON      NM;485.166.826;0,104;;;;
VBBR3;VIBRA;ON  EJ  NM;1.023.538.460;0,846;;;;
VIVA3;VIVARA S.A.;ON      NM;125.446.075;0,107;;;;
VIVT3;TELEF BRASIL;ON  EJ;382.442.128;0,841;;;;
VLID3;VALID;ON  EJ  NM;77.021.570;0,09;;;;
VULC3;VULCABRAS;ON      NM;96.358.247;0,068;;;;
VVEO3;VIVEO;ON      NM;178.293.177;0,017;;;;
WEGE3;WEG;ON  EJ  NM;1.482.105.837;3,65;;;;
YDUQ3;YDUQS PART;ON      NM;277.677.050;0,105;;;;
ZAMP3;ZAMP S.A.;ON;107.970.531;0,011;;;;
