Código;Ação;Tipo;Qtde. Teórica;Part. (%);;;;;;
ABEV3;AMBEV S/A;ON  EDJ;4.394.835.131;2,755;;;;;;
ASAI3;ASSAI;ON      NM;1.345.832.968;0,404;;;;;;
AZUL4;AZUL;PN      N2;326.872.005;0,068;;;;;;
AZZA3;AZZAS 2154;ON      NM;136.643.320;0,218;;;;;;
B3SA3;B3;ON  EJ  NM;5.392.540.963;3,013;;;;;;
BBAS3;BRASIL;ON      NM;2.842.613.858;3,733;;;;;;
BBDC4;BRADESCO;PN  EJ  N1;5.129.958.973;3,179;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
