Date|symbol|operation|quantity|price|balance
2024-01-02|CVX|BUY|13|149.48|8056.76
2024-01-02|WYNN|BUY|21|94.6|6070.16
2024-01-02|ZTS|BUY|10|196.57|4104.46
2024-01-02|ZBRA|BUY|7|267.98|2228.6
2024-01-02|ZBH|BUY|16|121.39|286.36
2024-01-02|YUM|BUY|2|129.03|28.3
2024-01-02|WBD|BUY|2|11.66|4.98
2024-01-03|ZBRA|SELL|7|252.52|1772.62
2024-01-03|MPC|BUY|11|157.89|35.83
2024-01-03|BWA|BUY|1|34.03|1.8
2024-01-09|WBD|SELL|2|11.03|23.86
2024-01-09|WBD|BUY|2|11.03|1.8
2024-01-16|WBD|SELL|2|10.35|22.5
2024-01-16|WBD|BUY|2|10.35|1.8
2024-01-18|CVX|SELL|13|141.82|1845.46
2024-01-18|ZBRA|BUY|7|249.59|98.33
2024-01-18|XOM|BUY|1|96.8|1.53
2024-01-24|ZTS|SELL|10|186.07|1862.23
2024-01-24|ZTS|BUY|10|186.07|1.53
2024-02-07|WBD|SELL|2|9.75|21.03
2024-02-07|WBD|BUY|2|9.75|1.53
2024-02-08|BWA|SELL|1|31.48|33.01
2024-02-08|PLTR|BUY|1|24.51|8.5
2024-02-21|PLTR|SELL|1|22.74|31.24
2024-02-21|WBD|BUY|3|9.57|2.53
2024-02-23|WBD|SELL|2|8.61|19.75
2024-02-23|WBD|SELL|3|8.61|45.58
2024-02-23|WY|BUY|1|33.38|12.2
2024-02-23|WBD|BUY|1|8.61|3.59
2024-03-01|ZBRA|SELL|7|289.64|2031.07
2024-03-01|NTAP|BUY|18|105.31|135.49
2024-03-01|MET|BUY|1|69.73|65.76
2024-03-01|XEL|BUY|1|49.57|16.19
2024-03-01|WBD|BUY|1|8.67|7.52
2024-03-04|WBD|SELL|1|8.11|15.63
2024-03-04|WBD|SELL|1|8.11|23.74
2024-03-04|WBD|BUY|2|8.11|7.52
2024-03-13|MPC|SELL|11|188.89|2085.31
2024-03-13|ZTS|SELL|10|176.23|3847.61
2024-03-13|AVB|BUY|10|186.24|1985.21
2024-03-13|HPQ|BUY|4|30.75|1862.21
2024-03-13|SWKS|BUY|17|107.38|36.75
2024-03-13|EQT|BUY|1|34.01|2.74
2024-03-14|XOM|SELL|1|111.47|114.21
2024-03-14|DD|BUY|3|30.88|21.57
2024-03-14|WBD|BUY|2|8.53|4.51
2024-04-05|HPQ|SELL|4|29.11|120.95
2024-04-05|VZ|BUY|2|42.12|36.71
2024-04-05|WY|BUY|1|34.59|2.12
2024-04-12|SWKS|SELL|17|101.55|1728.47
2024-04-12|VZ|SELL|2|39.72|1807.91
2024-04-12|KDP|BUY|59|30.22|24.93
2024-04-12|PCG|BUY|1|16.6|8.33
2024-04-15|WY|SELL|1|32.69|41.02
2024-04-15|WY|BUY|1|32.69|8.33
2024-04-16|WBD|BUY|1|8.14|0.19
2024-04-17|WY|SELL|1|31.52|31.71
2024-04-17|WY|BUY|1|31.52|0.19
2024-04-19|NTAP|SELL|18|97.95|1763.29
2024-04-19|ZTS|BUY|12|146.5|5.29
2024-04-24|EQT|SELL|1|39.43|44.72
2024-04-24|WY|BUY|1|31.54|13.18
2024-04-24|WBD|BUY|1|8.38|4.8
2024-04-26|WY|SELL|1|31.05|35.85
2024-04-26|WY|BUY|1|31.05|4.8
2024-04-30|WBD|SELL|2|7.36|19.52
2024-04-30|WBD|SELL|2|7.36|34.24
2024-04-30|WBD|SELL|1|7.36|41.6
2024-04-30|WBD|SELL|1|7.36|48.96
2024-04-30|WY|BUY|1|30.17|18.79
2024-04-30|WBD|BUY|2|7.36|4.07
2024-05-10|ZTS|SELL|12|169.04|2032.55
2024-05-10|AIG|BUY|25|80.11|29.8
2024-05-10|WBD|BUY|3|8.15|5.35
2024-05-14|WBD|SELL|2|8.56|22.47
2024-05-14|WBD|BUY|2|8.56|5.35
2024-05-17|WBD|SELL|2|8.05|21.45
2024-05-17|RF|BUY|1|20.18|1.27
2024-05-23|WBD|SELL|3|7.7|24.37
2024-05-23|RF|SELL|1|18.92|43.29
2024-05-23|WY|BUY|1|30.11|13.18
2024-05-23|WBD|BUY|1|7.7|5.48
2024-05-28|WY|SELL|1|29.76|35.24
2024-05-28|WY|SELL|1|29.76|65.0
2024-05-28|NFLX|BUY|1|64.9|0.1
2024-05-29|ZBH|SELL|16|115.14|1842.34
2024-05-29|WY|SELL|1|29.36|1871.7
2024-05-29|SNPS|BUY|3|580.21|131.07
2024-05-29|EMR|BUY|1|110.92|20.15
2024-05-29|WBD|BUY|2|7.66|4.83
2024-06-04|KDP|SELL|59|34.82|2059.21
2024-06-04|CCL|BUY|121|16.94|9.47
2024-06-04|WBD|BUY|1|8.24|1.23
2024-06-05|AIG|SELL|25|75.9|1898.73
2024-06-05|TPR|BUY|43|43.5|28.23
2024-06-05|WBD|BUY|3|8.3|3.33
2024-06-12|WBD|SELL|1|7.81|11.14
2024-06-12|WBD|SELL|3|7.81|34.57
2024-06-12|WY|BUY|1|29.21|5.36
2024-06-13|WBD|SELL|1|7.29|12.65
2024-06-13|WBD|BUY|1|7.29|5.36
2024-06-14|WYNN|SELL|21|88.8|1870.16
2024-06-14|WBD|SELL|2|7.24|1884.64
