Date|symbol|sector|quantity|buy_price|price
2024-01-02|PFE|Pharmaceuticals - Health Care|33|29.73|29.73
2024-01-02|DGX|Health Care Services - Health Care|7|140.82|140.82
2024-01-02|MDLZ|Packaged Foods & Meats - Consumer Staples|13|73.84|73.84
2024-01-02|TRGP|Oil & Gas Storage & Transportation - Energy|11|86.42|86.42
2024-01-02|MCK|Health Care Distributors - Health Care|2|473.42|473.42
2024-01-02|EVRG|Electric Utilities - Utilities|18|53.43|53.43
2024-01-02|ZBRA|Electronic Equipment & Instruments - Information Technology|3|267.98|267.98
2024-01-02|ZBH|Health Care Equipment - Health Care|8|121.39|121.39
2024-01-02|YUM|Restaurants - Consumer Discretionary|7|129.03|129.03
2024-01-02|XYL|Industrial Machinery & Supplies & Components - Industrials|8|113.67|113.67
2024-01-02|XOM|Integrated Oil & Gas - Energy|6|102.36|102.36
2024-01-02|WBD|Broadcasting - Communication Services|1|11.66|11.66
2024-01-03|PFE|Pharmaceuticals - Health Care|33|29.73|29.73
2024-01-03|DGX|Health Care Services - Health Care|7|140.82|139.68
2024-01-03|MDLZ|Packaged Foods & Meats - Consumer Staples|13|73.84|73.28
2024-01-03|TRGP|Oil & Gas Storage & Transportation - Energy|11|86.42|87.75
2024-01-03|MCK|Health Care Distributors - Health Care|2|473.42|480.34
2024-01-03|EVRG|Electric Utilities - Utilities|18|53.43|53.87
2024-01-03|ZBH|Health Care Equipment - Health Care|8|121.39|120.47
2024-01-03|YUM|Restaurants - Consumer Discretionary|7|129.03|129.1
2024-01-03|XYL|Industrial Machinery & Supplies & Components - Industrials|8|113.67|111.56
2024-01-03|XOM|Integrated Oil & Gas - Energy|6|102.36|103.22
2024-01-03|WBD|Broadcasting - Communication Services|1|11.66|11.3
2024-01-03|T|Integrated Telecommunication Services - Communication Services|44|17.23|17.23
2024-01-09|PFE|Pharmaceuticals - Health Care|33|29.73|29.4
2024-01-09|DGX|Health Care Services - Health Care|7|140.82|142.11
2024-01-09|MDLZ|Packaged Foods & Meats - Consumer Staples|13|73.84|73.74
2024-01-09|TRGP|Oil & Gas Storage & Transportation - Energy|11|86.42|83.6
2024-01-09|MCK|Health Care Distributors - Health Care|2|473.42|481.06
2024-01-09|EVRG|Electric Utilities - Utilities|18|53.43|54.21
2024-01-09|ZBH|Health Care Equipment - Health Care|8|121.39|121.87
2024-01-09|YUM|Restaurants - Consumer Discretionary|7|129.03|128.22
2024-01-09|XYL|Industrial Machinery & Supplies & Components - Industrials|8|113.67|112.11
2024-01-09|XOM|Integrated Oil & Gas - Energy|6|102.36|99.67
2024-01-09|T|Integrated Telecommunication Services - Communication Services|44|17.23|16.95
2024-01-09|WBD|Broadcasting - Communication Services|1|11.03|11.03
2024-01-11|PFE|Pharmaceuticals - Health Care|33|29.73|28.4
2024-01-11|DGX|Health Care Services - Health Care|7|140.82|135.77
2024-01-11|MDLZ|Packaged Foods & Meats - Consumer Staples|13|73.84|72.78
2024-01-11|TRGP|Oil & Gas Storage & Transportation - Energy|11|86.42|83.23
2024-01-11|MCK|Health Care Distributors - Health Care|2|473.42|488.84
2024-01-11|EVRG|Electric Utilities - Utilities|18|53.43|53.35
2024-01-11|ZBH|Health Care Equipment - Health Care|8|121.39|122.38
2024-01-11|YUM|Restaurants - Consumer Discretionary|7|129.03|129.0
2024-01-11|XYL|Industrial Machinery & Supplies & Components - Industrials|8|113.67|111.67
2024-01-11|XOM|Integrated Oil & Gas - Energy|6|102.36|98.67
2024-01-11|WBD|Broadcasting - Communication Services|1|11.03|10.54
2024-01-11|EG|Reinsurance - Financials|1|374.37|374.37
2024-01-11|MMC|Insurance Brokers - Financials|1|192.86|192.86
2024-01-11|TAP|Brewers - Consumer Staples|2|63.7|63.7
2024-01-11|WBD|Broadcasting - Communication Services|1|10.54|10.54
2024-01-16|PFE|Pharmaceuticals - Health Care|33|29.73|28.32
2024-01-16|DGX|Health Care Services - Health Care|7|140.82|133.85
2024-01-16|MDLZ|Packaged Foods & Meats - Consumer Staples|13|73.84|72.85
2024-01-16|TRGP|Oil & Gas Storage & Transportation - Energy|11|86.42|82.53
2024-01-16|MCK|Health Care Distributors - Health Care|2|473.42|488.5
2024-01-16|EVRG|Electric Utilities - Utilities|18|53.43|52.86
2024-01-16|ZBH|Health Care Equipment - Health Care|8|121.39|122.64
2024-01-16|YUM|Restaurants - Consumer Discretionary|7|129.03|129.81
2024-01-16|XYL|Industrial Machinery & Supplies & Components - Industrials|8|113.67|110.96
2024-01-16|XOM|Integrated Oil & Gas - Energy|6|102.36|97.69
2024-01-16|EG|Reinsurance - Financials|1|374.37|369.23
2024-01-16|MMC|Insurance Brokers - Financials|1|192.86|195.65
2024-01-16|TAP|Brewers - Consumer Staples|2|63.7|63.18
2024-01-16|WBD|Broadcasting - Communication Services|1|10.54|10.35
2024-01-16|WBD|Broadcasting - Communication Services|1|10.35|10.35
2024-01-17|MDLZ|Packaged Foods & Meats - Consumer Staples|13|73.84|73.3
2024-01-17|MCK|Health Care Distributors - Health Care|2|473.42|485.82
2024-01-17|EVRG|Electric Utilities - Utilities|18|53.43|51.79
2024-01-17|ZBH|Health Care Equipment - Health Care|8|121.39|122.23
2024-01-17|YUM|Restaurants - Consumer Discretionary|7|129.03|129.08
