Date|symbol|operation|quantity|price|balance
2024-01-02|PFE|BUY|33|29.73|9018.91
2024-01-02|DGX|BUY|7|140.82|8033.17
2024-01-02|MDLZ|BUY|13|73.84|7073.25
2024-01-02|TRGP|BUY|11|86.42|6122.63
2024-01-02|MCK|BUY|2|473.42|5175.79
2024-01-02|EVRG|BUY|18|53.43|4214.05
2024-01-02|ZBRA|BUY|3|267.98|3410.11
2024-01-02|ZBH|BUY|8|121.39|2438.99
2024-01-02|YUM|BUY|7|129.03|1535.78
2024-01-02|XYL|BUY|8|113.67|626.42
2024-01-02|XOM|BUY|6|102.36|12.26
2024-01-02|WBD|BUY|1|11.66|0.6
2024-01-03|ZBRA|SELL|3|252.52|758.16
2024-01-03|T|BUY|44|17.23|0.04
2024-01-09|WBD|SELL|1|11.03|11.07
2024-01-09|WBD|BUY|1|11.03|0.04
2024-01-11|T|SELL|44|16.23|714.16
2024-01-11|EG|BUY|1|374.37|339.79
2024-01-11|MMC|BUY|1|192.86|146.93
2024-01-11|TAP|BUY|2|63.7|19.53
2024-01-11|WBD|BUY|1|10.54|8.99
2024-01-16|WBD|SELL|1|10.35|19.34
2024-01-16|WBD|BUY|1|10.35|8.99
2024-01-17|PFE|SELL|33|28.15|937.94
2024-01-17|DGX|SELL|7|133.72|1873.98
2024-01-17|TRGP|SELL|11|81.49|2770.37
2024-01-17|XOM|SELL|6|96.98|3352.25
2024-01-17|HD|BUY|2|355.7|2640.85
2024-01-17|DECK|BUY|8|120.75|1674.85
2024-01-17|AON|BUY|2|303.26|1068.33
2024-01-17|CRM|BUY|3|271.44|254.01
2024-01-17|IBM|BUY|1|166.08|87.93
2024-01-17|FITB|BUY|2|33.79|20.35
2024-01-17|WBD|BUY|2|10.16|0.03
2024-01-19|EVRG|SELL|18|50.44|907.95
2024-01-19|AVGO|BUY|7|121.12|60.11
2024-01-19|GEN|BUY|2|23.48|13.15
2024-01-19|WBD|BUY|1|10.35|2.8
2024-02-02|DECK|SELL|8|147.01|1178.88
2024-02-02|GEN|SELL|2|21.23|1221.34
2024-02-02|PEP|BUY|5|170.97|366.49
2024-02-02|MGM|BUY|8|44.88|7.45
2024-02-07|TAP|SELL|2|59.73|126.91
2024-02-07|WBD|SELL|1|9.75|136.66
2024-02-07|WBD|SELL|1|9.75|146.41
2024-02-07|WBD|SELL|1|9.75|156.16
2024-02-07|EMR|BUY|1|104.09|52.07
2024-02-07|ROL|BUY|1|44.2|7.87
2024-02-08|EG|SELL|1|354.56|362.43
2024-02-08|PWR|BUY|1|207.77|154.66
2024-02-08|ON|BUY|1|80.71|73.95
2024-02-08|CMS|BUY|1|56.27|17.68
2024-02-08|WBD|BUY|1|9.83|7.85
2024-02-09|WBD|SELL|2|9.64|27.13
2024-02-09|WBD|BUY|2|9.64|7.85
2024-02-15|ROL|SELL|1|41.72|49.57
2024-02-15|WY|BUY|1|33.42|16.15
2024-02-15|WBD|BUY|1|10.14|6.01
2024-02-16|MGM|SELL|8|42.54|346.33
2024-02-16|DD|BUY|12|28.64|2.65
2024-02-21|WBD|SELL|1|9.57|12.22
2024-02-21|WBD|BUY|1|9.57|2.65
2024-02-23|ON|SELL|1|76.19|78.84
2024-02-23|WBD|SELL|1|8.61|87.45
2024-02-23|WBD|SELL|2|8.61|104.67
2024-02-23|WBD|SELL|1|8.61|113.28
2024-02-23|HBAN|BUY|8|12.86|10.4
2024-02-23|WBD|BUY|1|8.61|1.79
2024-02-27|PWR|SELL|1|239.57|241.36
2024-02-27|BBY|BUY|3|79.06|4.18
2024-03-01|CRM|SELL|3|316.88|954.82
2024-03-01|AVGO|SELL|7|139.92|1934.26
2024-03-01|MRNA|BUY|10|95.06|983.66
2024-03-01|NTAP|BUY|9|105.31|35.87
2024-03-01|GEN|BUY|1|21.83|14.04
2024-03-01|WBD|BUY|1|8.67|5.37
2024-03-04|IBM|SELL|1|193.06|198.43
2024-03-04|WBD|SELL|1|8.11|206.54
2024-03-04|WBD|SELL|1|8.11|214.65
2024-03-04|AMT|BUY|1|206.15|8.5
2024-03-04|WBD|BUY|1|8.11|0.39
2024-03-05|PEP|SELL|5|162.04|810.59
2024-03-05|ROL|BUY|18|44.28|13.55
2024-03-05|WBD|BUY|1|8.14|5.41
2024-03-11|MRNA|SELL|10|111.98|1125.21
2024-03-11|NEM|BUY|29|35.24|103.25
2024-03-11|ON|BUY|1|81.6|21.65
2024-03-11|IVZ|BUY|1|15.8|5.85
2024-03-14|ON|SELL|1|77.17|83.02
2024-03-14|CTVA|BUY|1|55.2|27.82
2024-03-14|WBD|BUY|3|8.53|2.23
2024-03-20|AMT|SELL|1|194.63|196.86
2024-03-20|FOXA|BUY|6|30.22|15.54
