Date|symbol|sector|quantity|buy_price|price
2024-01-02|PFE|Pharmaceuticals - Health Care|67|29.73|29.73
2024-01-02|DGX|Health Care Services - Health Care|14|140.82|140.82
2024-01-02|MDLZ|Packaged Foods & Meats - Consumer Staples|27|73.84|73.84
2024-01-02|TRGP|Oil & Gas Storage & Transportation - Energy|23|86.42|86.42
2024-01-02|MCK|Health Care Distributors - Health Care|4|473.42|473.42
2024-01-02|EVRG|Electric Utilities - Utilities|3|53.43|53.43
2024-01-17|MDLZ|Packaged Foods & Meats - Consumer Staples|27|73.84|73.3
2024-01-17|MCK|Health Care Distributors - Health Care|4|473.42|485.82
2024-01-17|EVRG|Electric Utilities - Utilities|3|53.43|51.79
2024-01-17|HD|Home Improvement Retail - Consumer Discretionary|5|355.7|355.7
2024-01-17|DECK|Footwear - Consumer Discretionary|16|120.75|120.75
2024-01-17|RMD|Health Care Equipment - Health Care|11|170.71|170.71
2024-01-17|FITB|Regional Banks - Financials|1|33.79|33.79
2024-01-17|WBD|Broadcasting - Communication Services|1|10.16|10.16
2024-01-19|MDLZ|Packaged Foods & Meats - Consumer Staples|27|73.84|72.85
2024-01-19|MCK|Health Care Distributors - Health Care|4|473.42|484.6
2024-01-19|HD|Home Improvement Retail - Consumer Discretionary|5|355.7|362.41
2024-01-19|DECK|Footwear - Consumer Discretionary|16|120.75|124.88
2024-01-19|RMD|Health Care Equipment - Health Care|11|170.71|172.54
2024-01-19|FITB|Regional Banks - Financials|1|33.79|34.21
2024-01-19|WBD|Broadcasting - Communication Services|1|10.16|10.35
2024-01-19|AVGO|Semiconductors - Information Technology|1|121.12|121.12
2024-01-19|GEN|Systems Software - Information Technology|1|23.48|23.48
2024-02-02|MDLZ|Packaged Foods & Meats - Consumer Staples|27|73.84|76.87
2024-02-02|MCK|Health Care Distributors - Health Care|4|473.42|504.45
2024-02-02|HD|Home Improvement Retail - Consumer Discretionary|5|355.7|357.23
2024-02-02|RMD|Health Care Equipment - Health Care|11|170.71|191.86
2024-02-02|FITB|Regional Banks - Financials|1|33.79|33.85
2024-02-02|WBD|Broadcasting - Communication Services|1|10.16|10.25
2024-02-02|AVGO|Semiconductors - Information Technology|1|121.12|122.43
2024-02-02|PEP|Soft Drinks & Non-alcoholic Beverages - Consumer Staples|11|170.97|170.97
2024-02-02|MGM|Casinos & Gaming - Consumer Discretionary|11|44.88|44.88
2024-02-09|MDLZ|Packaged Foods & Meats - Consumer Staples|27|73.84|73.17
2024-02-09|MCK|Health Care Distributors - Health Care|4|473.42|501.35
2024-02-09|HD|Home Improvement Retail - Consumer Discretionary|5|355.7|363.15
2024-02-09|RMD|Health Care Equipment - Health Care|11|170.71|184.63
2024-02-09|FITB|Regional Banks - Financials|1|33.79|33.65
