Date|symbol|operation|quantity|price|balance
2024-01-02|CVX|BUY|13|149.48|8056.76
2024-01-02|WYNN|BUY|21|94.6|6070.16
2024-01-02|ZTS|BUY|10|196.57|4104.46
2024-01-02|ZBRA|BUY|7|267.98|2228.6
2024-01-02|ZBH|BUY|16|121.39|286.36
2024-01-02|YUM|BUY|2|129.03|28.3
2024-01-02|WBD|BUY|2|11.66|4.98
2024-01-03|ZBRA|SELL|7|252.52|1772.62
2024-01-03|MPC|BUY|11|157.89|35.83
2024-01-03|BWA|BUY|1|34.03|1.8
2024-01-09|WBD|SELL|2|11.03|23.86
2024-01-09|WBD|BUY|2|11.03|1.8
2024-01-16|WBD|SELL|2|10.35|22.5
2024-01-16|WBD|BUY|2|10.35|1.8
2024-01-18|CVX|SELL|13|141.82|1845.46
2024-01-18|ZBRA|BUY|7|249.59|98.33
2024-01-18|XOM|BUY|1|96.8|1.53
2024-01-24|ZTS|SELL|10|186.07|1862.23
2024-01-24|ZTS|BUY|10|186.07|1.53
2024-02-07|WBD|SELL|2|9.75|21.03
2024-02-07|WBD|BUY|2|9.75|1.53
2024-02-08|WYNN|SELL|21|106.11|2229.84
2024-02-08|BWA|SELL|1|31.48|2261.32
2024-02-08|SNPS|BUY|3|570.69|549.25
2024-02-08|EG|BUY|1|354.56|194.69
2024-02-08|PLTR|BUY|7|24.51|23.12
2024-02-08|WBD|BUY|2|9.83|3.46
2024-02-15|ZBRA|SELL|7|283.75|1989.71
2024-02-15|CRL|BUY|8|245.4|26.51
2024-02-15|WBD|BUY|2|10.14|6.23
2024-02-21|PLTR|SELL|7|22.74|165.41
2024-02-21|WBD|SELL|2|9.57|184.55
2024-02-21|EL|BUY|1|147.48|37.07
2024-02-21|WY|BUY|1|33.16|3.91
2024-02-23|WBD|SELL|2|8.61|21.13
2024-02-23|WBD|SELL|2|8.61|38.35
2024-02-23|WY|BUY|1|33.38|4.97
2024-03-04|MPC|SELL|11|173.75|1916.22
2024-03-04|PEG|BUY|30|63.36|15.42
2024-03-04|WBD|BUY|1|8.11|7.31
2024-03-06|XOM|SELL|1|106.77|114.08
2024-03-06|NKE|BUY|1|97.63|16.45
2024-03-06|WBD|BUY|1|8.41|8.04
2024-03-07|CRL|SELL|8|270.27|2170.2
2024-03-07|ES|BUY|3|59.42|1991.94
2024-03-07|BMY|BUY|4|53.28|1778.82
2024-03-07|MTB|BUY|12|143.37|58.38
2024-03-07|XEL|BUY|1|50.04|8.34
2024-03-11|WBD|SELL|1|9.07|17.41
2024-03-11|KEY|BUY|1|14.92|2.49
2024-03-13|ZTS|SELL|10|176.23|1764.79
2024-03-13|AVB|BUY|9|186.24|88.63
2024-03-13|HPQ|BUY|2|30.75|27.13
2024-03-13|WBD|BUY|3|8.85|0.58
2024-03-15|EG|SELL|1|392.87|393.45
2024-03-15|TSN|BUY|7|56.15|0.4
2024-03-25|EL|SELL|1|139.17|139.57
2024-03-25|ADM|BUY|2|62.51|14.55
2024-03-25|WBD|BUY|1|8.46|6.09
2024-03-26|NKE|SELL|1|92.58|98.67
2024-03-26|ES|SELL|3|56.29|267.54
2024-03-26|WBD|SELL|3|8.38|292.68
2024-03-26|TFC|BUY|7|37.6|29.48
2024-03-26|WBD|BUY|3|8.38|4.34
2024-04-05|HPQ|SELL|2|29.11|62.56
2024-04-05|VZ|BUY|1|42.12|20.44
2024-04-05|WBD|BUY|2|8.32|3.8
2024-04-10|BMY|SELL|4|50.29|204.96
2024-04-10|MTB|SELL|12|134.86|1823.28
2024-04-10|MRK|BUY|14|126.75|48.78
2024-04-10|WY|BUY|1|33.6|15.18
2024-04-10|WBD|BUY|1|8.32|6.86
2024-04-12|VZ|SELL|1|39.72|46.58
2024-04-12|KDP|BUY|1|30.22|16.36
2024-04-12|WBD|BUY|1|8.34|8.02
2024-04-16|SNPS|SELL|3|541.09|1631.29
2024-04-16|TFC|SELL|7|35.64|1880.77
2024-04-16|ZTS|BUY|1|153.02|1727.75
2024-04-16|ZBRA|BUY|6|280.42|45.23
2024-04-16|WY|BUY|1|31.97|13.26
2024-04-16|WBD|BUY|1|8.14|5.12
2024-04-17|WY|SELL|1|31.52|36.64
2024-04-17|WY|SELL|1|31.52|68.16
2024-04-17|XEL|BUY|1|53.19|14.97
2024-04-17|WBD|BUY|1|8.23|6.74
2024-04-18|WY|SELL|1|31.35|38.09
2024-04-18|WY|BUY|1|31.35|6.74
2024-04-23|XEL|SELL|1|55.27|62.01
2024-04-23|XEL|BUY|1|55.27|6.74
2024-04-25|KDP|SELL|1|33.84|40.58
2024-04-25|WY|BUY|1|31.46|9.12
2024-04-25|WBD|BUY|1|8.29|0.83
2024-04-29|YUM|SELL|2|143.19|287.21
2024-04-29|FRT|BUY|2|103.29|80.63
2024-04-29|XEL|BUY|1|54.48|26.15
2024-04-29|WBD|BUY|3|8.15|1.7
2024-04-30|WBD|SELL|1|7.36|9.06
2024-04-30|ADM|SELL|2|58.66|126.38
2024-04-30|WBD|SELL|1|7.36|133.74
2024-04-30|WBD|SELL|3|7.36|155.82
2024-04-30|WBD|SELL|2|7.36|170.54
2024-04-30|WBD|SELL|1|7.36|177.9
2024-04-30|WBD|SELL|1|7.36|185.26
