Date|symbol|sector|quantity|buy_price|price
2024-01-02|PFE|Pharmaceuticals - Health Care|67|29.73|29.73
2024-01-02|DGX|Health Care Services - Health Care|14|140.82|140.82
2024-01-02|MDLZ|Packaged Foods & Meats - Consumer Staples|27|73.84|73.84
2024-01-02|TRGP|Oil & Gas Storage & Transportation - Energy|23|86.42|86.42
2024-01-02|MCK|Health Care Distributors - Health Care|4|473.42|473.42
2024-01-02|EVRG|Electric Utilities - Utilities|3|53.43|53.43
2024-01-17|MDLZ|Packaged Foods & Meats - Consumer Staples|27|73.84|73.3
2024-01-17|MCK|Health Care Distributors - Health Care|4|473.42|485.82
2024-01-17|EVRG|Electric Utilities - Utilities|3|53.43|51.79
2024-01-17|HD|Home Improvement Retail - Consumer Discretionary|5|355.7|355.7
2024-01-17|DECK|Footwear - Consumer Discretionary|16|120.75|120.75
2024-01-17|RMD|Health Care Equipment - Health Care|11|170.71|170.71
2024-01-17|FITB|Regional Banks - Financials|1|33.79|33.79
2024-01-17|WBD|Broadcasting - Communication Services|1|10.16|10.16
2024-01-19|MDLZ|Packaged Foods & Meats - Consumer Staples|27|73.84|72.85
2024-01-19|MCK|Health Care Distributors - Health Care|4|473.42|484.6
2024-01-19|HD|Home Improvement Retail - Consumer Discretionary|5|355.7|362.41
2024-01-19|DECK|Footwear - Consumer Discretionary|16|120.75|124.88
2024-01-19|RMD|Health Care Equipment - Health Care|11|170.71|172.54
2024-01-19|FITB|Regional Banks - Financials|1|33.79|34.21
2024-01-19|WBD|Broadcasting - Communication Services|1|10.16|10.35
2024-01-19|AVGO|Semiconductors - Information Technology|1|121.12|121.12
2024-01-19|GEN|Systems Software - Information Technology|1|23.48|23.48
2024-01-26|MDLZ|Packaged Foods & Meats - Consumer Staples|27|73.84|75.14
2024-01-26|MCK|Health Care Distributors - Health Care|4|473.42|485.27
2024-01-26|HD|Home Improvement Retail - Consumer Discretionary|5|355.7|355.3
2024-01-26|DECK|Footwear - Consumer Discretionary|16|120.75|127.96
2024-01-26|FITB|Regional Banks - Financials|1|33.79|34.86
2024-01-26|WBD|Broadcasting - Communication Services|1|10.16|10.62
2024-01-26|AVGO|Semiconductors - Information Technology|1|121.12|120.49
2024-01-26|GEN|Systems Software - Information Technology|1|23.48|23.77
2024-01-26|CMCSA|Cable & Satellite - Communication Services|45|43.36|43.36
2024-01-26|RJF|Investment Banking & Brokerage - Financials|1|113.22|113.22
2024-01-26|CSX|Rail Transportation - Industrials|1|35.39|35.39
2024-02-02|MDLZ|Packaged Foods & Meats - Consumer Staples|27|73.84|76.87
2024-02-02|MCK|Health Care Distributors - Health Care|4|473.42|504.45
2024-02-02|HD|Home Improvement Retail - Consumer Discretionary|5|355.7|357.23
