Date|symbol|operation|quantity|price|balance
2024-01-02|PFE|BUY|67|29.73|8008.09
2024-01-02|DGX|BUY|14|140.82|6036.61
2024-01-02|MDLZ|BUY|27|73.84|4042.93
2024-01-02|TRGP|BUY|23|86.42|2055.27
2024-01-02|MCK|BUY|4|473.42|161.59
2024-01-02|EVRG|BUY|3|53.43|1.3
2024-01-17|PFE|SELL|67|28.15|1887.35
2024-01-17|DGX|SELL|14|133.72|3759.43
2024-01-17|TRGP|SELL|23|81.49|5633.7
2024-01-17|HD|BUY|5|355.7|3855.2
2024-01-17|DECK|BUY|16|120.75|1923.2
2024-01-17|RMD|BUY|11|170.71|45.39
2024-01-17|FITB|BUY|1|33.79|11.6
2024-01-17|WBD|BUY|1|10.16|1.44
2024-01-19|EVRG|SELL|3|50.44|152.76
2024-01-19|AVGO|BUY|1|121.12|31.64
2024-01-19|GEN|BUY|1|23.48|8.16
2024-01-26|RMD|SELL|11|190.15|2099.81
2024-01-26|CMCSA|BUY|45|43.36|148.61
2024-01-26|RJF|BUY|1|113.22|35.39
2024-01-26|CSX|BUY|1|35.39|0.0
2024-02-02|DECK|SELL|16|147.01|2352.16
2024-02-02|GEN|SELL|1|21.23|2373.39
2024-02-02|TSN|BUY|1|56.36|2317.03
2024-02-02|PEP|BUY|12|170.97|265.39
2024-02-02|MGM|BUY|5|44.88|40.99
2024-02-02|F|BUY|3|12.14|4.57
2024-02-07|CMCSA|SELL|45|40.17|1812.22
2024-02-07|GEHC|BUY|22|81.83|11.96
2024-02-07|WBD|BUY|1|9.75|2.21
2024-02-09|WBD|SELL|1|9.64|11.85
2024-02-09|TSN|SELL|1|52.58|64.43
2024-02-09|XEL|BUY|1|58.17|6.26
2024-02-16|MGM|SELL|5|42.54|218.96
2024-02-16|DD|BUY|7|28.64|18.48
2024-02-16|WBD|BUY|1|9.83|8.65
2024-02-23|WBD|SELL|1|8.61|17.26
2024-02-23|WBD|SELL|1|8.61|25.87
2024-02-23|HBAN|BUY|2|12.86|0.15
2024-02-26|GEHC|SELL|22|90.62|1993.79
2024-02-26|CAH|BUY|1|110.27|1883.52
2024-02-26|TXN|BUY|11|164.3|76.22
2024-02-26|GIS|BUY|1|65.0|11.22
2024-02-26|WBD|BUY|1|8.55|2.67
2024-02-28|MCK|SELL|4|523.68|2097.39
