Date|symbol|operation|quantity|price|balance
2024-01-02|PFE|BUY|33|29.73|9018.91
2024-01-02|DGX|BUY|7|140.82|8033.17
2024-01-02|MDLZ|BUY|13|73.84|7073.25
2024-01-02|TRGP|BUY|11|86.42|6122.63
2024-01-02|MCK|BUY|2|473.42|5175.79
2024-01-02|EVRG|BUY|18|53.43|4214.05
2024-01-02|ZBRA|BUY|3|267.98|3410.11
2024-01-02|ZBH|BUY|8|121.39|2438.99
2024-01-02|YUM|BUY|7|129.03|1535.78
2024-01-02|XYL|BUY|8|113.67|626.42
2024-01-02|XOM|BUY|6|102.36|12.26
2024-01-02|WBD|BUY|1|11.66|0.6
2024-01-03|ZBRA|SELL|3|252.52|758.16
2024-01-03|T|BUY|44|17.23|0.04
2024-01-09|WBD|SELL|1|11.03|11.07
2024-01-09|WBD|BUY|1|11.03|0.04
2024-01-11|T|SELL|44|16.23|714.16
2024-01-11|EG|BUY|1|374.37|339.79
2024-01-11|MMC|BUY|1|192.86|146.93
2024-01-11|TAP|BUY|2|63.7|19.53
2024-01-11|WBD|BUY|1|10.54|8.99
2024-01-16|WBD|SELL|1|10.35|19.34
2024-01-16|WBD|BUY|1|10.35|8.99
2024-01-17|PFE|SELL|33|28.15|937.94
2024-01-17|DGX|SELL|7|133.72|1873.98
2024-01-17|TRGP|SELL|11|81.49|2770.37
2024-01-17|XOM|SELL|6|96.98|3352.25
2024-01-17|HD|BUY|2|355.7|2640.85
2024-01-17|DECK|BUY|8|120.75|1674.85
2024-01-17|AON|BUY|2|303.26|1068.33
2024-01-17|CRM|BUY|3|271.44|254.01
2024-01-17|IBM|BUY|1|166.08|87.93
2024-01-17|FITB|BUY|2|33.79|20.35
2024-01-17|WBD|BUY|2|10.16|0.03
2024-01-19|EVRG|SELL|18|50.44|907.95
2024-01-19|AVGO|BUY|7|121.12|60.11
2024-01-19|GEN|BUY|2|23.48|13.15
2024-01-19|WBD|BUY|1|10.35|2.8
2024-01-25|IBM|SELL|1|190.43|193.23
2024-01-25|TXT|BUY|2|86.16|20.91
2024-01-25|PLTR|BUY|1|16.46|4.45
2024-02-02|DECK|SELL|8|147.01|1180.53
2024-02-02|GEN|SELL|2|21.23|1222.99
2024-02-02|PEP|BUY|5|170.97|368.14
2024-02-02|MGM|BUY|8|44.88|9.1
2024-02-06|PLTR|SELL|1|21.87|30.97
2024-02-06|PLTR|BUY|1|21.87|9.1
2024-02-07|TAP|SELL|2|59.73|128.56
2024-02-07|WBD|SELL|1|9.75|138.31
2024-02-07|WBD|SELL|1|9.75|148.06
2024-02-07|WBD|SELL|1|9.75|157.81
2024-02-07|EMR|BUY|1|104.09|53.72
2024-02-07|ROL|BUY|1|44.2|9.52
2024-02-08|EG|SELL|1|354.56|364.08
2024-02-08|PLTR|SELL|1|24.51|388.59
2024-02-08|PWR|BUY|1|207.77|180.82
2024-02-08|ON|BUY|1|80.71|100.11
2024-02-08|CMS|BUY|1|56.27|43.84
2024-02-08|WY|BUY|1|33.01|10.83
2024-02-08|WBD|BUY|1|9.83|1.0
2024-02-09|WBD|SELL|2|9.64|20.28
2024-02-09|WBD|BUY|2|9.64|1.0
2024-02-15|ROL|SELL|1|41.72|42.72
2024-02-15|WY|BUY|1|33.42|9.3
2024-02-16|MGM|SELL|8|42.54|349.62
2024-02-16|DD|BUY|12|28.64|5.94
2024-02-22|XYL|SELL|8|125.1|1006.74
2024-02-22|PWR|SELL|1|232.93|1239.67
2024-02-22|TECH|BUY|13|71.76|306.79
2024-02-22|EXC|BUY|8|36.03|18.55
2024-02-22|WBD|BUY|1|9.56|8.99
2024-02-23|ON|SELL|1|76.19|85.18
2024-02-23|WBD|SELL|1|8.61|93.79
2024-02-23|WBD|SELL|2|8.61|111.01
2024-02-23|WBD|SELL|1|8.61|119.62
2024-02-23|HBAN|BUY|9|12.86|3.88
2024-02-26|CRM|SELL|3|300.39|905.05
2024-02-26|UPS|BUY|6|147.5|20.05
2024-02-26|WBD|BUY|2|8.55|2.95
2024-02-28|MCK|SELL|2|523.68|1050.31
2024-02-28|ZTS|BUY|5|199.94|50.61
2024-02-28|SLB|BUY|1|48.16|2.45
2024-03-01|AVGO|SELL|7|139.92|981.89
2024-03-01|MRNA|BUY|10|95.06|31.29
2024-03-01|GEN|BUY|1|21.83|9.46
2024-03-01|WBD|BUY|1|8.67|0.79
2024-03-04|WBD|SELL|2|8.11|17.01
2024-03-04|ZTS|SELL|5|187.86|956.31
2024-03-04|WBD|SELL|1|8.11|964.42
2024-03-04|AMT|BUY|4|206.15|139.82
2024-03-04|MS|BUY|1|90.04|49.78
2024-03-04|LNT|BUY|1|48.54|1.24
2024-03-05|PEP|SELL|5|162.04|811.44
